Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
DISEÑO 3D,JUNIOR,3001000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Diseñador 3D,Muy buena,Muy bien,Sí,Sí,10,diseño de thingiverse,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,2019,Yo,12,Buena,No sé,Mejor
CIBERSEGURIDAD,SENIOR,3003609,Chico,Bien,9,9,Buena,Buena,Regular,Bien,No sé,No lo tengo decidido,Buena,Bien,Sí,Sí,8,"Las practicas utilizadas en el laboratorio, sobre todo el uso de la radio",La conexión wifi del centro,,4,4,3,4,3,3,4,4,3,4,5,3,3,4,4,2,4,4,3,4,3,No,Yo,16,Buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,3003609,Chico,Bien,8,8,Muy buena,Muy buena,Mala,Bien,No,No lo tengo claro,Buena,Muy bien,Sí,Sí,7,Aprender lo básico con pyzon,nada,,3,3,4,2,3,3,3,4,4,1,4,4,3,3,3,3,3,4,2,3,4,No,Yo,16,Buena,Sí,Igual
MINECRAFT,JUNIOR,3004000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,fisico,Muy buena,Muy bien,Sí,Sí,10,horas libres,nada,nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,5,5,1,1,5,2019,Yo,13,Buena,Sí,Mejor
INGENIERIA MECANICA,SENIOR,3005065,Chico,Bien,8,8,Muy buena,No asistí,Buena,Bien,Sí,Temas relacionados con el transporte y energía limìa,Buena,Bien,Sí,Sí,7,"Laboratorios, motores, formula 1",toda la teoria o los kahoots (todos los dias),Realizar mas actividades(como montar un kart),4,4,4,2,4,2,4,4,4,2,5,4,4,4,3,4,3,4,2,3,5,No,Yo,15,Buena,Sí,Igual
BIOINGENIERIA,JUNIOR,3006000,Chico,Muy bien,10,10,Muy buena,No asistí,Regular,Muy bien,Sí,a ser programador,Muy buena,Muy bien,Sí,Sí,10,los laboratorios,nada,nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5,No,Mis padres,11,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,3006000,Chico,Muy bien,6,10,No asistí,No asistí,Muy buena,Muy bien,No,a ser programador,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,No,Mis padres,11,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,3006000,Chico,Muy bien,2,10,Muy buena,No asistí,Regular,Muy bien,Sí,programador,Muy buena,Muy bien,Sí,Sí,10,las cosas de fórmula 1,El olor del laboratorio de química,El olor del laboratorio de química,5,5,5,1,5,5,3,5,5,2,5,5,2,5,1,2,1,5,1,1,5,No,Mis padres,11,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,3006000,Chico,Muy bien,8,10,No asistí,No asistí,Buena,Muy bien,No,A programar ordenadores,Buena,Muy bien,Sí,Sí,9,aprender cosas con redstone,aprender a crear servers,nada,5,3,5,1,5,4,2,4,5,5,3,4,1,4,2,1,2,3,2,1,4,No,Mis padres,11,Muy buena,Sí,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,3007000,Chico,Muy bien,9,10,No asistí,No asistí,,Muy bien,Sí,Físico quántico,Muy buena,Muy bien,Sí,Sí,10,Aprender a editar imágenes en Photoshop.,"Aprender a usar Adobe Premier Pro, era un poco aburrido.",Que los ordenadores no eliminen todos los archivos por la noche.,5,5,5,1,1,4,5,4,4,1,5,4,5,4,3,5,4,5,1,3,5,2019,Mis padres,11,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,3007350,Chica,Bien,7,8,Buena,Buena,Buena,Bien,No,no lo se,Me da igual,Bien,No,No,5,no lo se,no lo se,no tantas horas sentadas,2,2,3,3,5,1,1,2,2,4,4,2,1,2,3,1,3,3,3,4,1,No,Mis padres,13,Buena,No,Peor
VIDEOJUEGOS 3D,SENIOR,3008623,Chica,Bien,9,5,Muy buena,No asistí,,Muy bien,Sí,Diseño y programación de videojuegos,Muy buena,Bien,Sí,Sí,9,Aprender a utilizar una nueva plataforma para programar,El frío que hacía en el aula,,5,5,5,1,1,5,5,4,5,5,5,3,5,5,4,5,4,5,1,4,5,2017,Yo,15,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,3009335,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,10,Los profesores,Nada,No sé,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,5,4,5,1,1,5,No,"Yo, Mis padres",12,Buena,No sé,Mejor
EMPRENDE ICADE,SENIOR,3009521,Chico,Muy bien,10,10,Buena,Buena,Regular,Muy bien,Sí,No se,Buena,Bien,Sí,Sí,10,La presentación frente el jurado,La hora de llegada,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"2018, 2020 (online)",Mis amigos,15,Buena,Sí,Igual
ROBOTICA,JUNIOR,3009771,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,No sé,Muy buena,Muy bien,Sí,Sí,10,Programar y los profesores,Nada,nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,4,4,5,1,1,5,No,"Yo, Mis padres",12,Buena,No sé,Mejor
CIENCIA EN LA COCINA,SENIOR,3010927,Chica,Muy bien,10,10,Buena,Buena,,Muy bien,Sí,"Ingeniería industrial, diseño gráfico o algo relacionado con matemáticas",Muy buena,Muy bien,Sí,Sí,10,El profesor nos daba libertad de elegir lo que hacer. He aprendido cosas sobre ciencia y a la vez sobre cocina. Las actividades eran muy creativas y de un nivel muy razonable,En ciertas ocasiones manchábamos más de lo necesario y había ingredientes que eran muy difíciles de limpiar,"La hora de entrada es demasiado temprano por lo cual se está muy cansado durante las horas de clase y el resto del día. El descanso podría ser más largo, ya que apenas da tiempo a tomarse algo de comida y despejar un poco la mente.",5,5,4,1,1,4,5,5,4,1,5,5,5,4,1,5,4,4,1,1,4,"2018, 2019",Yo,15,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,3011691,Chica,Muy bien,9,9,Buena,Buena,Muy buena,Bien,Sí,"algo relacionado con matematicas, fisica o biomecanica",Buena,Muy bien,Sí,No,9,python,el principio de scratch,hacer las clases teoricas mas dinamicas,4,5,4,1,1,3,5,5,4,1,3,3,4,4,1,4,3,4,1,3,3,No,"Yo, Mis padres",16,Muy buena,Sí,Peor
DISEÑO 3D,JUNIOR,3012000,Chico,Bien,8,9,No asistí,No asistí,Buena,Bien,No,músico,Buena,Muy bien,Sí,Sí,9,que he podido imprimir lo que he diseñado,que algunas cosas que he diseñado han salido mal en la impresora,no se,4,4,3,1,3,4,3,3,4,2,3,5,3,3,3,4,4,3,1,2,1,No,Yo,10,Buena,No sé,Igual
MINECRAFT,JUNIOR,3012000,Chico,Bien,8,8,No asistí,No asistí,Buena,Bien,No,músico,Buena,Muy bien,Sí,Sí,9,que he podido construir mi propia casa,que ponían el pvp en algunos mundos,no lo se la verdad,4,4,3,1,3,4,3,3,4,2,3,3,4,4,2,4,4,3,1,1,3,No,Yo,10,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,3103000,Chica,Bien,10,10,No asistí,No asistí,Buena,Muy bien,No sé,Actriz o diseñadora de interior,Buena,Bien,Sí,Sí,10,Los proyectos,Nada,Nada,4,3,5,2,3,3,2,4,5,3,5,5,3,4,2,3,5,5,1,2,5,No,"Yo, Mis padres",11,Muy buena,No sé,Peor
DISEÑO 3D,JUNIOR,3103499,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,No sé,Actriz o diseñadora de interior de casas.,Muy buena,Bien,Sí,Sí,10,Las impresiones en 3D,Nada,"Nada , todo es perfecto",5,3,5,2,3,4,3,3,5,3,5,5,3,5,2,3,5,5,1,3,4,No,"Yo, Mis padres",11,Muy buena,No sé,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,3103499,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Actriz y diseñadora de interior de casas,Muy buena,Bien,Sí,Sí,10,El STOP MOTION,Nada,Nada,5,4,5,2,3,4,3,4,5,2,5,5,3,5,2,3,5,5,1,2,5,No,"Yo, Mis padres",11,Muy buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,3103858,Chica,Poco,8,8,Buena,No asistí,Muy buena,Bien,Sí,ingenieria,Buena,Muy bien,Sí,Sí,8,"la experiencia, lo que aprendido y las personas que he conocido",cuando nos daban aparatos para desmontar y era imposible hacerlo por que estaban defectuosos,los tornillos de los aparatos a desmontar (es imposible hacerlo si están desgastados),5,5,5,1,1,4,5,5,5,1,5,5,5,5,3,5,5,5,1,4,3,No,Yo,16,Muy buena,Sí,Peor
SMART CITY,SENIOR,3103858,Chica,Regular,10,10,Buena,No asistí,,Muy bien,Sí,una ingenieria,Muy buena,Muy bien,Sí,Sí,8,el hecho de que lo que hemos aprendido lo hayamos podido poner en practica,el no haber podido participar tanto como quería por mi falta de conocimientos en Arduino,esta todo muy bien pero creo que se podría mejorar el tema de la organizacion,5,5,4,2,1,4,5,5,5,5,5,5,5,5,3,5,5,5,1,2,4,No,Yo,16,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,3103888,Chico,Muy bien,8,9,Muy buena,No asistí,Buena,Bien,Sí,"Me gustaría trabajar en el campo espacial, en una empresa de cohetes, preferiblemente",Buena,Muy bien,Sí,Sí,8,"Que me ha permitido ver cómo era esta carrera realmente, para poder ir decidiendo los caminos que tomaré","Creo que ha habido experimentos que habrían requerido más conocimientos para entenderlos realmente, pero ha estado bien",Pensar en cosas que sean más realizables y comprensibles para nuestros conocimientos,5,4,5,2,3,4,3,4,5,4,5,4,4,5,3,4,2,4,1,4,4,No,Yo,15,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,3103888,Chico,Muy bien,8,10,Muy buena,No asistí,Buena,Bien,Sí,Me gustaría trabajar en algo relacionado con la ingeniería mecánica o aeroespacial,Buena,Muy bien,Sí,Sí,9,La explicación sobre el coche de formula student,Hacíamos demasiados kahoots,A lo mejor sería conveniente hacer algún kahoot menos,4,4,4,2,3,4,4,4,5,2,5,4,4,5,4,4,3,4,2,4,5,No,Yo,15,Buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,3105101,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Bien,Sí,Algo relacionado con las Matemáticas,Muy buena,Muy bien,Sí,Sí,9,Todo lo que nos han enseñado sobre progamacion,"La teoria que dimos al principio de las primeras clases, aunque entiendo que es importante saberlo",Enseñar más Python. En mi opinión es más útil y muchos de nosotros ya sabemos Scratch.,5,5,4,1,1,3,4,4,4,2,5,5,5,4,2,3,4,5,1,2,3,No,Yo,14,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,3110083,Chica,Bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniería,Muy buena,Muy bien,Sí,Sí,9,El juego de la presa,Nada,Hacer más Razonamiento por la práctica,5,5,5,1,1,4,5,4,5,1,5,5,5,4,2,3,4,5,1,3,5,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,3110083,Chica,Bien,9,10,Muy buena,Muy buena,Buena,Bien,Sí,Ingeniería,Muy buena,Bien,Sí,Sí,8,"Kahoots, y la actividad del último día",Nada,Añadir ordenadores desde el primer día,5,5,5,1,1,3,5,4,5,4,5,4,5,5,3,2,4,5,1,2,4,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,3110083,Chica,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Una ingeniería,Muy buena,Muy bien,Sí,Sí,10,El proyecto libre del Jueves y el Viernes,Nada,Nada,5,5,5,1,2,4,5,4,5,3,5,4,4,4,2,3,4,5,1,2,5,"2016, 2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,7777777,Chico,Bien,10,5,Muy buena,No asistí,Mala,Regular,Sí,Idk,Buena,Muy bien,No,Sí,9,La profe,Un niño,Nada,4,5,5,1,1,3,5,5,5,1,5,5,5,5,1,4,3,5,2,1,5,2019,Yo,16,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,17305443,Chica,Bien,9,10,Regular,No asistí,Muy buena,Muy bien,Sí,A algo relacionado con la biología,Me da igual,Bien,Sí,Sí,8,"Las prácticas que hemos hecho, y el juego de rol me ha llamado mucho la atención",Me ha parecido mucha teoría.,Menos teoría y más tiempo para hacer prácticas.,5,5,5,1,2,3,5,4,4,2,5,4,5,5,3,5,4,5,1,4,5,No,Mis padres,16,Buena,Sí,Peor
CIENCIA EN LA COCINA,JUNIOR,140509000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Médico,Buena,Bien,Sí,Sí,10,Lo cómodo que he estado con mis profesores y compañeros y la ayuda y atención de los profesores en los alumnos,Lo corto que ha sido,Nada,3,3,3,3,3,3,3,4,4,3,5,3,3,3,3,3,3,3,3,3,3,No,Yo,12,Buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,200111000,Chico,Bien,8,10,Muy buena,No asistí,Buena,Muy bien,Sí,cientifico,Buena,Muy bien,Sí,Sí,9,ir a los laboratorios,nada,mas experimentos,5,3,5,1,2,5,4,4,5,2,5,5,5,5,2,5,5,3,1,4,5,No,Yo,10,Buena,Sí,Igual
MINECRAFT,JUNIOR,664063354,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,no se,Muy buena,Bien,Sí,Sí,10,no se,no se,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,4,1,1,2,2019,Yo,12,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,1042011000,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,ingeniero nautico,Muy buena,Muy bien,Sí,Sí,10,los profesores y los barcos que hicimos,el curso ha estado muy bien no hay nada malo,nada estaba todo perfecto,5,4,5,1,1,5,4,5,5,1,4,3,4,5,4,4,5,4,1,1,5,No,Yo,10,Muy buena,Sí,Igual
ROBOTICA,JUNIOR,1042011000,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,ingeniero industrial,Muy buena,Muy bien,Sí,Sí,10,que el ultimo dia hicimos proyecto libre,algunas de las piezas,nada,5,5,4,2,1,5,2,5,5,2,4,4,4,4,2,4,5,5,1,2,5,No,Yo,10,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,7092010000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Magistrado,Buena,Muy bien,Sí,Sí,10,Diseñar 3D,La charla,"Los rotuladores de la pizarra
",2,1,5,5,1,3,1,4,4,1,4,3,3,4,4,1,4,4,5,5,5,No,Yo,10,Buena,No,Igual
